ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,date_col
SC0011401,1200m,製造,YC-08,27.78,50.4,0.9,120.0,122.01,1020.2,592,0.01047,89.02,2025-03-17
SC0011402,1200m,製造,YC-08,28.64,50.8,0.9,120.03,122.04,1020.1,1246,0.01111,89.03,2025-03-17
SC0011403,1000m,製造,YC-08,27.29,50.7,0.9,120.05,122.09,1020.3,1052,0.01188,89.05,2025-03-17
SC0011404,1000m,製造,YC-08,27.32,50.3,0.9,120.09,122.05,1020.3,497,0.01059,89.06,2025-03-17
SC0011405,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.03,1020.0,413,0.01029,89.04,2025-03-17
SC0011406,1200m,製造,YC-08,29.18,51.0,0.9,120.0,122.18,1020.4,1662,0.01198,89.06,2025-03-17
SC0011407,1200m,製造,YC-08,28.36,50.5,0.9,120.0,122.05,1020.2,1312,0.01091,89.04,2025-03-17
SC0011408,1200m,製造,YC-08,27.3,50.3,0.9,120.05,122.05,1020.2,413,0.01025,89.04,2025-03-17
SC0011409,1500m,製造,YC-08,28.04,50.4,0.9,120.0,122.04,1020.2,899,0.01098,89.07,2025-03-17
SC0011410,500m,製造,YC-08,34.33,51.5,0.9,120.49,122.33,1021.3,2426,0.01433,89.09,2025-03-17
SC0011411,1000m,製造,YC-08,27.08,50.2,0.9,120.0,122.18,1020.3,310,0.01008,89.09,2025-03-17
SC0011412,500m,試作品,YC-08,31.47,51.2,0.9,120.0,122.04,1020.1,1940,0.01212,89.08,2025-03-17
SC0011413,1200m,製造,YC-08,27.32,50.2,0.9,120.34,122.16,1020.7,240,0.01029,89.02,2025-03-17
SC0011414,1000m,製造,YC-08,28.54,50.7,0.9,120.0,122.05,1020.0,1177,0.01093,89.05,2025-03-17
SC0011415,1500m,製造,YC-08,28.01,50.2,0.9,120.0,122.09,1020.2,344,0.01045,89.04,2025-03-17
SC0011416,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.27,1020.4,552,0.01049,89.05,2025-03-17
SC0011417,1200m,製造,YC-08,27.41,50.2,0.9,120.09,122.01,1020.1,309,0.01015,89.03,2025-03-17
SC0011418,500m,製造,YC-08,27.36,50.2,0.9,120.06,122.0,1020.1,322,0.0103,89.05,2025-03-17
SC0011419,500m,製造,YC-08,28.54,50.5,0.9,120.0,122.03,1020.0,907,0.01087,89.04,2025-03-17
SC0011420,1200m,製造,YC-08,27.42,50.2,0.9,120.14,122.06,1020.6,316,0.01035,89.06,2025-03-17
SC0011421,1500m,製造,YC-08,29.18,51.0,0.9,120.0,122.08,1020.2,1662,0.01181,89.1,2025-03-17
SC0011422,1200m,製造,YC-08,29.18,51.0,0.9,120.09,122.07,1020.2,1662,0.01231,89.06,2025-03-17
SC0011423,1200m,製造,YC-08,29.18,51.0,0.9,120.09,122.04,1020.1,1662,0.01148,89.06,2025-03-17
SC0011424,300m,製造,YC-08,32.4,51.1,0.9,120.0,122.05,1020.3,1765,0.0135,89.07,2025-03-17
SC0011425,500m,製造,YC-08,27.67,50.3,0.9,120.14,122.01,1020.1,509,0.01025,89.01,2025-03-17
SC0011426,1500m,製造,YC-08,27.13,50.3,0.9,120.0,122.01,1020.1,413,0.01033,89.02,2025-03-17
SC0011427,1200m,製造,YC-08,27.76,50.4,0.9,120.0,122.02,1020.0,575,0.0104,89.02,2025-03-17
SC0011428,1000m,製造,YC-08,28.53,50.7,0.9,120.02,122.01,1020.1,1476,0.01173,89.1,2025-03-17
SC0011429,500m,製造,YC-08,28.06,50.4,0.9,120.09,122.14,1020.4,830,0.01058,89.04,2025-03-17
SC0011430,1200m,製造,YC-08,27.64,50.3,0.9,120.03,122.06,1020.1,483,0.01029,89.06,2025-03-17
SC0011431,500m,製造,YC-08,28.04,50.4,0.9,120.4,122.16,1020.9,455,0.01091,89.09,2025-03-17
SC0011432,300m,製造,YC-08,28.36,50.9,0.9,120.0,122.0,1020.0,1142,0.01193,89.05,2025-03-17
SC0011433,1200m,製造,YC-08,27.91,50.4,0.9,120.03,122.01,1020.1,691,0.0111,89.03,2025-03-17
SC0011434,1200m,製造,YC-08,29.27,51.1,0.9,120.0,122.03,1020.1,1732,0.0124,89.05,2025-03-17
SC0011435,1200m,製造,YC-08,30.18,51.5,0.9,120.0,122.05,1020.1,2426,0.01192,89.11,2025-03-17
SC0011436,1000m,製造,YC-08,30.24,50.9,0.9,120.14,122.07,1020.3,1454,0.01159,89.34,2025-03-17
SC0011437,1000m,製造,YC-08,27.73,50.3,0.9,120.06,122.04,1020.1,552,0.0106,89.05,2025-03-17
SC0011438,1000m,製造,YC-08,28.04,50.4,0.9,120.01,122.02,1020.0,413,0.01049,89.05,2025-03-17
SC0011439,1500m,製造,YC-08,27.23,50.1,0.9,120.0,122.01,1020.1,170,0.01014,89.03,2025-03-17
SC0011440,1500m,製造,YC-08,28.54,50.7,0.9,120.0,122.01,1020.0,1177,0.01082,89.05,2025-03-17
SC0011441,1200m,製造,YC-08,27.33,50.2,0.9,120.14,122.01,1020.0,247,0.01007,89.03,2025-03-17
SC0011442,500m,製造,YC-08,29.31,51.0,0.9,120.0,122.34,1021.0,1662,0.01165,89.15,2025-03-17
SC0011443,1000m,製造,YC-08,30.26,51.3,0.9,120.14,122.25,1020.3,1107,0.0111,89.05,2025-03-17
SC0011444,1200m,製造,YC-08,27.55,50.3,0.9,120.01,122.0,1020.0,413,0.01049,89.05,2025-03-17
SC0011445,300m,製造,YC-08,29.73,51.3,0.9,120.0,122.09,1020.4,2079,0.01412,89.09,2025-03-17
SC0011446,1200m,製造,YC-08,27.61,50.3,0.9,120.0,122.09,1020.1,491,0.01015,89.03,2025-03-17
SC0011447,1500m,製造,YC-08,28.12,50.5,0.9,120.05,122.07,1020.3,850,0.01101,89.05,2025-03-17
SC0011448,1200m,製造,YC-08,27.67,50.3,0.9,120.0,122.09,1020.2,510,0.01066,89.07,2025-03-17
SC0011449,500m,製造,YC-08,28.64,50.8,0.9,120.06,122.01,1020.1,1246,0.01124,89.08,2025-03-17
SC0011450,1500m,製造,YC-08,27.98,50.5,0.9,120.05,122.1,1020.2,746,0.01059,89.06,2025-03-17
SC0011451,1000m,製造,YC-08,27.47,50.2,0.9,120.03,122.02,1020.1,247,0.01017,89.06,2025-03-17
SC0011452,1200m,製造,YC-08,28.76,50.7,0.9,120.0,122.11,1020.2,691,0.01076,89.11,2025-03-17
SC0011453,1000m,製造,YC-08,27.73,50.3,0.9,120.0,122.01,1020.0,552,0.01022,89.04,2025-03-17
SC0011454,1000m,製造,YC-08,28.07,50.4,0.901,120.04,122.04,1020.1,221,0.01038,89.04,2025-03-17
SC0011455,1200m,製造,YC-08,27.97,50.5,0.9,120.0,122.01,1020.0,734,0.01058,89.03,2025-03-17
SC0011456,1200m,製造,YC-08,28.91,50.9,0.9,120.0,122.63,1021.3,1454,0.01087,89.25,2025-03-17
SC0011457,1500m,製造,YC-08,28.14,50.5,0.9,120.0,122.02,1020.0,864,0.01112,89.04,2025-03-17
SC0011458,1200m,製造,YC-08,28.45,50.6,0.9,120.01,122.02,1020.0,1038,0.01103,89.03,2025-03-17
SC0011459,500m,試作品,YC-08,28.45,50.7,0.9,120.09,122.01,1020.2,1107,0.01121,89.06,2025-03-17
SC0011460,500m,製造,YC-08,27.73,50.3,0.9,120.0,122.97,1022.7,552,0.0106,89.12,2025-03-17
SC0011461,500m,製造,YC-08,27.23,50.1,0.9,120.28,122.11,1020.3,205,0.01019,89.04,2025-03-17
SC0011462,1000m,製造,YC-08,27.8,50.8,0.9,120.0,122.6,1021.6,1341,0.01188,89.09,2025-03-17
SC0011463,1200m,製造,YC-08,28.01,50.5,0.9,120.05,122.09,1020.2,767,0.01076,89.03,2025-03-17
SC0011464,1000m,製造,YC-08,28.36,50.6,0.9,120.05,122.07,1020.2,1038,0.01134,89.05,2025-03-17
SC0011465,1200m,製造,YC-08,28.53,50.7,0.9,120.0,122.03,1020.1,1163,0.01104,89.07,2025-03-17
SC0011466,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.14,1020.3,1385,0.01151,89.07,2025-03-17
SC0011467,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.05,1020.3,1385,0.01151,89.05,2025-03-17
SC0011468,1000m,製造,YC-08,28.28,50.4,0.9,120.03,122.01,1020.0,653,0.01045,89.02,2025-03-17
SC0011469,1000m,試作品,YC-08,27.32,50.2,0.9,120.0,122.02,1020.1,242,0.01015,89.02,2025-03-17
SC0011470,1000m,製造,YC-08,28.82,50.9,0.9,120.05,122.09,1020.2,1385,0.01137,89.11,2025-03-17
SC0011471,1200m,製造,YC-08,28.22,50.6,0.9,120.38,122.38,1021.1,925,0.01129,89.06,2025-03-17
SC0011472,1200m,製造,YC-08,28.82,50.9,0.9,120.04,122.01,1020.2,1385,0.01165,89.08,2025-03-17
SC0011473,300m,製造,YC-08,29.73,51.3,0.9,120.0,122.09,1020.1,2079,0.01206,89.06,2025-03-17
SC0011474,1200m,製造,YC-08,27.58,50.6,0.9,120.0,122.03,1020.2,1038,0.01093,89.05,2025-03-17
SC0011475,1200m,試作品,YC-08,27.45,50.2,0.9,120.01,122.0,1020.0,344,0.01031,89.03,2025-03-17
SC0011476,1500m,製造,YC-08,27.86,50.4,0.9,120.0,122.09,1020.3,656,0.01111,89.13,2025-03-17
SC0011477,1200m,製造,YC-08,27.23,50.1,0.901,120.24,122.05,1020.4,170,0.01027,89.02,2025-03-17
SC0011478,1200m,製造,YC-08,27.7,50.3,0.9,120.09,122.17,1020.6,552,0.01077,89.09,2025-03-17
SC0011479,1000m,製造,YC-08,28.09,50.5,0.9,120.01,122.0,1020.0,830,0.01091,89.04,2025-03-17
SC0011480,500m,製造,YC-08,28.32,50.4,0.9,120.0,122.02,1020.0,691,0.01069,89.04,2025-03-17
SC0011481,1000m,試作品,YC-08,27.89,50.4,0.9,120.01,122.01,1020.0,623,0.01013,89.02,2025-03-17
SC0011482,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.03,1020.1,344,0.01052,89.04,2025-03-17
SC0011483,1200m,製造,YC-08,27.98,50.4,0.9,120.12,122.24,1021.2,1301,0.01297,89.04,2025-03-17
SC0011484,1500m,製造,YC-08,28.89,50.9,0.9,120.07,122.04,1020.1,1440,0.01143,89.07,2025-03-17
SC0011485,300m,製造,YC-08,29.33,51.1,0.9,120.48,122.19,1020.8,1773,0.01176,89.07,2025-03-17
SC0011486,1000m,製造,YC-08,28.38,50.4,0.9,120.52,122.21,1021.0,691,0.01082,89.05,2025-03-17
SC0011487,1000m,製造,YC-08,30.33,51.0,0.9,120.0,122.03,1020.4,1612,0.01144,89.06,2025-03-17
SC0011488,1000m,製造,YC-08,31.16,51.7,0.9,120.15,122.09,1020.9,1662,0.01297,89.06,2025-03-17
SC0011489,1000m,製造,YC-08,28.48,50.3,0.9,120.03,122.07,1020.1,458,0.01032,89.06,2025-03-17
SC0011490,500m,製造,YC-08,27.93,50.7,0.9,120.0,122.09,1020.2,1062,0.01127,89.05,2025-03-17
SC0011491,1200m,製造,YC-08,27.36,50.2,0.9,120.0,122.01,1020.1,167,0.01014,89.04,2025-03-17
SC0011492,1200m,製造,YC-08,27.5,50.2,0.9,120.01,122.0,1020.0,379,0.01034,89.02,2025-03-17
SC0011493,1200m,製造,YC-08,28.12,50.5,0.9,120.09,122.09,1020.2,856,0.01102,89.02,2025-03-17
SC0011494,1000m,製造,YC-08,27.64,50.3,0.9,120.0,122.01,1020.0,378,0.01043,89.02,2025-03-17
SC0011495,1500m,製造,YC-08,28.79,50.8,0.9,120.0,122.0,1020.0,1367,0.01054,89.08,2025-03-17
SC0011496,1200m,製造,YC-08,29.91,51.4,0.9,120.0,122.39,1020.6,2217,0.01264,89.06,2025-03-17
SC0011497,500m,製造,YC-08,29.73,51.3,0.9,120.12,122.24,1020.6,2079,0.01288,89.07,2025-03-17
SC0011498,1200m,製造,YC-08,27.35,50.5,0.9,120.14,122.05,1020.2,887,0.0107,89.05,2025-03-17
SC0011499,1000m,製造,YC-08,,51.3,0.9,120.0,122.53,1021.8,2169,0.01473,89.08,2025-03-17
SC0011500,500m,製造,YC-08,28.03,51.1,0.9,120.0,122.15,1020.5,1726,0.01171,89.05,2025-03-17
SC0011501,1200m,製造,YC-08,28.2,50.6,0.9,120.0,122.11,1020.3,913,0.01054,89.06,2025-03-17
SC0011502,1200m,製造,YC-08,27.32,50.2,0.9,120.0,122.0,1020.0,240,0.01012,89.03,2025-03-17
SC0011503,1000m,製造,YC-08,29.14,50.6,0.9,120.0,122.02,1020.2,1034,0.01195,89.04,2025-03-17
SC0011504,300m,製造,YC-08,30.44,50.8,0.9,120.0,122.02,1020.4,1329,0.0129,89.07,2025-03-17
SC0011505,1000m,製造,YC-08,28.79,50.8,0.9,120.0,122.04,1020.1,1360,0.01324,89.06,2025-03-17
SC0011506,500m,製造,YC-08,29.27,51.1,0.9,120.0,122.07,1021.4,1732,0.0124,89.08,2025-03-17
SC0011507,500m,製造,YC-08,30.01,50.6,0.9,120.0,122.09,1020.2,968,0.01077,89.08,2025-03-17
SC0011508,300m,製造,YC-08,30.55,51.2,0.9,120.16,122.03,1021.5,1940,0.01442,89.07,2025-03-17
SC0011509,1500m,製造,YC-08,27.64,50.3,0.9,120.0,122.07,1020.1,483,0.01053,89.05,2025-03-17
SC0011510,1500m,製造,YC-08,27.29,50.1,0.9,120.01,122.0,1020.0,221,0.01016,89.02,2025-03-17
SC0011511,1000m,製造,YC-08,28.11,51.4,0.9,120.14,122.29,1020.7,1163,0.0115,89.07,2025-03-17
SC0011512,100m,研究所テスト,YC-08,29.73,51.3,0.9,120.05,122.06,1020.3,2079,0.0133,89.07,2025-03-17
SC0011513,1200m,製造,YC-08,30.18,51.5,0.9,120.14,122.09,1020.5,2426,0.01385,89.08,2025-03-17
SC0011514,500m,製造,YC-08,27.31,50.5,0.9,120.0,122.0,1020.0,1940,0.01173,89.13,2025-03-17
SC0011515,500m,製造,YC-08,27.91,50.4,0.9,120.15,122.07,1020.4,691,0.01082,89.05,2025-03-17
SC0011516,500m,製造,YC-08,27.99,50.3,0.9,120.0,122.09,1020.3,445,0.01022,89.04,2025-03-17
SC0011517,1200m,製造,YC-08,27.63,50.5,0.9,120.0,122.06,1020.1,830,0.01058,89.05,2025-03-17
SC0011518,100m,研究所テスト,YC-08,28.35,50.9,0.9,120.05,122.09,1020.4,1477,0.0119,89.13,2025-03-17
SC0011519,300m,製造,YC-08,27.18,50.1,0.9,120.0,122.06,1020.0,136,0.01004,89.04,2025-03-17
SC0011520,500m,製造,YC-08,27.54,50.6,0.9,120.0,122.03,1020.2,899,0.01107,89.07,2025-03-17
SC0011521,1200m,製造,YC-08,27.84,50.8,0.9,120.09,122.09,1020.2,1246,0.01124,89.12,2025-03-17
SC0011522,1500m,製造,YC-08,27.84,50.3,0.9,120.0,122.01,1020.1,1246,0.01148,89.07,2025-03-17
SC0011523,500m,試作品,YC-08,27.26,50.4,0.9,120.0,122.04,1020.2,916,0.01127,89.04,2025-03-17
SC0011524,1200m,製造,YC-08,29.42,50.9,0.9,120.0,122.06,1020.6,1385,0.01165,89.05,2025-03-17
SC0011525,1000m,製造,YC-08,27.77,50.4,0.9,120.05,122.02,1020.2,691,0.01124,89.05,2025-03-17
SC0011526,1000m,製造,YC-08,27.52,50.2,0.9,120.02,122.04,1020.1,691,0.01082,89.03,2025-03-17
SC0011527,1200m,製造,YC-08,29.23,51.1,0.9,120.49,122.06,1020.6,1702,0.01287,89.05,2025-03-17
SC0011528,1200m,製造,YC-08,27.97,50.4,0.9,120.19,122.39,1020.8,497,0.0104,89.05,2025-03-17
SC0011529,1000m,製造,YC-08,27.46,50.3,0.9,120.0,122.03,1020.1,451,0.01038,89.04,2025-03-17
SC0011530,1500m,製造,YC-08,27.1,50.0,0.9,120.09,122.17,1020.3,413,0.01029,89.12,2025-03-17
SC0011531,1000m,製造,YC-08,29.54,51.2,0.9,120.07,122.07,1020.1,1940,0.01192,89.13,2025-03-17
SC0011532,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.05,1020.5,413,0.01078,89.04,2025-03-17
SC0011533,1500m,製造,YC-08,28.51,51.1,0.9,120.0,122.09,1020.2,1732,0.01189,89.08,2025-03-17
SC0011534,1500m,製造,YC-08,27.16,50.1,0.9,120.0,122.01,1020.0,120,0.01015,89.02,2025-03-17
SC0011535,500m,製造,YC-08,27.73,50.3,0.9,120.0,122.02,1020.1,552,0.01049,89.05,2025-03-17
SC0011536,300m,製造,YC-08,27.17,51.3,0.9,120.0,122.11,1020.5,2079,0.01309,89.08,2025-03-17
SC0011537,1500m,製造,YC-08,28.9,50.9,0.9,120.0,122.01,1020.1,1451,0.01086,89.03,2025-03-17
SC0011538,1200m,製造,YC-08,28.31,50.6,0.9,120.05,122.08,1020.1,996,0.01069,89.02,2025-03-17
SC0011539,1200m,製造,YC-08,28.12,50.5,0.9,120.0,122.05,1020.1,850,0.01084,89.03,2025-03-17
SC0011540,1000m,試作品,YC-08,27.87,50.6,0.9,120.21,122.33,1020.8,1038,0.01185,89.05,2025-03-17
SC0011541,500m,製造,YC-08,27.91,50.4,0.9,120.3,122.12,1020.4,691,0.01055,89.05,2025-03-17
SC0011542,1200m,製造,YC-08,30.28,51.1,0.9,120.11,122.02,1020.2,1836,0.01328,89.07,2025-03-17
SC0011543,1500m,製造,YC-08,28.27,50.6,0.9,120.0,122.04,1020.1,965,0.01067,89.04,2025-03-17
SC0011544,500m,製造,YC-08,28.45,50.7,0.9,120.0,122.25,1021.2,1107,0.01143,89.07,2025-03-17
SC0011545,1000m,製造,YC-08,28.31,50.6,0.9,120.03,122.01,1020.0,996,0.01079,89.07,2025-03-17
SC0011546,1000m,製造,YC-08,28.18,50.6,0.9,120.0,122.02,1020.2,899,0.01116,89.06,2025-03-17
SC0011547,1200m,製造,YC-08,28.45,50.7,0.9,120.06,122.01,1020.1,1107,0.01209,89.07,2025-03-17
SC0011548,300m,製造,YC-08,29.73,51.3,0.9,120.0,122.0,1020.0,2079,0.01082,89.08,2025-03-17
SC0011549,1200m,製造,YC-08,27.3,50.1,0.9,120.01,122.01,1020.0,223,0.01011,89.02,2025-03-17
SC0011550,1000m,製造,YC-08,29.79,51.3,0.9,120.0,122.04,1020.1,2131,0.01232,89.07,2025-03-17
SC0011551,1200m,製造,YC-08,28.59,50.7,0.9,120.05,122.06,1020.2,1169,0.01156,89.07,2025-03-17
SC0011552,1000m,製造,YC-08,32.7,52.2,0.9,120.0,122.21,1021.0,2079,0.01206,89.11,2025-03-17
SC0011553,500m,製造,YC-08,29.99,51.3,0.9,120.0,122.08,1020.9,2426,0.01264,89.08,2025-03-17
SC0011554,1000m,製造,YC-08,27.93,51.2,0.9,120.0,122.36,1020.8,1940,0.01288,89.08,2025-03-17
SC0011555,1200m,製造,YC-08,28.73,50.8,0.9,120.05,122.09,1020.1,1315,0.01078,89.03,2025-03-17
SC0011556,1000m,製造,YC-08,27.96,50.6,0.9,120.1,122.21,1020.7,830,0.01124,89.08,2025-03-17
SC0011557,1200m,製造,YC-08,27.25,50.6,0.9,120.0,122.05,1020.2,1038,0.01144,89.04,2025-03-17
SC0011558,1200m,製造,YC-08,28.11,50.5,0.9,120.0,122.0,1020.0,844,0.01042,89.03,2025-03-17
SC0011559,1200m,製造,YC-08,28.01,50.5,0.9,120.0,122.02,1020.0,767,0.01061,89.03,2025-03-17
SC0011560,1500m,製造,YC-08,28.34,50.6,0.9,120.18,122.05,1020.2,1017,0.01121,89.06,2025-03-17
SC0011561,1000m,製造,YC-08,28.0,50.5,0.9,120.07,122.01,1020.2,760,0.01076,89.05,2025-03-17
SC0011562,1000m,試作品,YC-08,27.49,50.2,0.9,120.08,122.02,1020.3,372,0.01059,89.05,2025-03-17
SC0011563,500m,製造,YC-08,27.85,50.3,0.906,120.0,122.01,1020.0,575,0.01046,89.03,2025-03-17
SC0011564,1200m,製造,YC-08,28.04,50.4,0.9,120.0,122.02,1020.1,621,0.01062,89.04,2025-03-17
SC0011565,1500m,製造,YC-08,27.64,50.3,0.9,120.0,122.01,1020.1,483,0.01029,89.05,2025-03-17
SC0011566,1000m,製造,YC-08,27.17,51.6,0.9,120.0,122.03,1020.9,1385,0.01206,89.1,2025-03-17
SC0011567,300m,製造,YC-08,30.61,51.0,0.9,120.0,122.09,1020.2,1593,0.01126,89.06,2025-03-17
SC0011568,1200m,製造,YC-08,28.06,50.5,0.9,120.5,122.33,1020.4,807,0.01056,89.08,2025-03-17
SC0011569,1000m,製造,YC-08,27.35,50.3,0.9,120.03,122.04,1020.1,510,0.0102,89.05,2025-03-17
SC0011570,1200m,製造,YC-08,27.75,50.4,0.9,120.0,122.01,1020.0,573,0.01029,89.04,2025-03-17
SC0011571,500m,試作品,YC-08,30.04,51.4,0.9,120.0,122.03,1020.1,2316,0.01138,89.06,2025-03-17
SC0011572,300m,製造,YC-08,28.14,50.4,0.9,120.03,122.01,1020.1,1246,0.01087,89.07,2025-03-17
SC0011573,500m,製造,YC-08,27.58,50.4,0.9,120.0,122.02,1020.3,691,0.0113,89.06,2025-03-17
SC0011574,500m,製造,YC-08,28.73,50.7,0.9,120.0,122.21,1025.7,2426,0.01288,89.34,2025-03-17
SC0011575,300m,試作品,YC-08,28.53,50.7,0.9,120.01,122.0,1020.0,1163,0.01081,89.07,2025-03-17
SC0011576,1500m,製造,YC-08,27.7,50.3,0.9,120.13,122.13,1020.3,1107,0.01077,89.03,2025-03-17
SC0011577,1000m,試作品,YC-08,27.73,50.3,0.9,120.0,122.0,1020.0,552,0.01022,89.03,2025-03-17
SC0011578,1000m,製造,YC-08,28.82,50.9,0.9,120.05,122.09,1020.2,1385,0.01165,89.05,2025-03-17
SC0011579,500m,製造,YC-08,28.82,50.7,0.9,120.1,122.04,1020.7,2079,0.01288,89.14,2025-03-17
SC0011580,1500m,製造,YC-08,27.64,50.3,0.9,120.0,122.09,1020.2,483,0.01072,89.06,2025-03-17
SC0011581,1000m,製造,YC-08,27.75,50.5,0.9,120.26,122.23,1020.5,552,0.01049,89.08,2025-03-17
SC0011582,300m,製造,YC-08,29.36,51.1,0.9,120.39,122.26,1020.6,1799,0.01285,89.05,2025-03-17
SC0011583,1200m,製造,YC-08,27.2,50.8,0.9,120.41,122.41,1021.5,1246,0.01173,89.75,2025-03-17
SC0011584,1500m,製造,YC-08,27.28,50.6,0.9,120.0,122.02,1020.3,996,0.01079,89.04,2025-03-17
SC0011585,1200m,製造,YC-08,27.93,50.3,0.9,120.02,122.01,1020.1,413,0.01054,89.04,2025-03-17
SC0011586,1000m,製造,YC-08,27.2,50.1,0.9,120.0,122.01,1020.0,146,0.01005,89.03,2025-03-17
SC0011587,300m,製造,YC-08,28.36,50.6,0.9,120.0,122.03,1020.1,1004,0.01082,89.07,2025-03-17
SC0011588,300m,製造,YC-08,32.97,52.3,0.9,120.0,122.05,1020.1,2242,0.01178,89.06,2025-03-17
SC0011589,1000m,製造,YC-08,28.35,51.6,0.9,120.51,122.35,1022.1,2426,0.01337,89.09,2025-03-17
SC0011590,500m,製造,YC-08,30.18,51.5,0.9,120.89,122.59,1022.8,2426,0.01361,89.12,2025-03-17
SC0011591,1200m,製造,YC-08,28.45,50.7,0.9,120.19,122.34,1020.6,1107,0.01121,89.05,2025-03-17
SC0011592,1000m,製造,YC-08,28.82,50.7,0.9,120.03,122.01,1020.1,1385,0.01151,89.05,2025-03-17
SC0011593,1200m,製造,YC-08,28.43,50.3,0.9,120.0,122.04,1020.3,552,0.0111,89.16,2025-03-17
SC0011594,500m,製造,YC-08,28.97,50.8,0.9,120.0,122.08,1020.6,717,0.01078,89.05,2025-03-17
SC0011595,1200m,製造,YC-08,27.7,50.5,0.9,120.0,122.17,1020.6,1038,0.01103,89.05,2025-03-17
SC0011596,100m,研究所テスト,YC-08,29.35,50.9,0.9,120.0,122.0,1020.0,1792,0.01071,89.07,2025-03-17
SC0011597,1000m,製造,YC-08,27.68,50.3,0.9,120.0,122.21,1020.2,517,0.01046,89.03,2025-03-17
SC0011598,1500m,製造,YC-08,27.55,50.3,0.9,120.0,122.01,1020.2,413,0.01049,89.04,2025-03-17
SC0011599,1000m,製造,YC-08,27.86,50.5,0.9,120.02,122.01,1020.1,507,0.01091,89.02,2025-03-17
SC0011600,500m,製造,YC-08,29.41,51.1,0.9,120.49,122.2,1021.1,1836,0.01419,89.06,2025-03-18
SC0011601,500m,製造,YC-08,27.77,50.4,0.9,120.0,122.05,1020.1,583,0.01058,89.05,2025-03-18
SC0011602,1200m,製造,YC-08,27.3,50.3,0.9,120.05,122.05,1020.2,413,0.01025,89.04,2025-03-18
SC0011603,1200m,試作品,YC-08,29.66,51.2,0.9,120.03,122.07,1020.2,1910,0.01246,89.06,2025-03-18
SC0011604,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.0,1020.0,691,0.01048,89.04,2025-03-18
SC0011605,500m,製造,YC-08,34.33,51.5,0.9,120.49,122.33,1021.3,2426,0.01433,89.09,2025-03-18
SC0011606,1200m,製造,YC-08,30.18,,0.9,120.14,122.01,1020.3,2426,0.01313,89.11,2025-03-18
SC0011607,1200m,製造,YC-08,28.36,50.6,0.9,120.0,122.02,1020.0,1036,0.01051,89.05,2025-03-18
SC0011608,1200m,製造,YC-08,28.44,50.7,0.9,120.0,122.01,1020.1,1093,0.01163,89.05,2025-03-18
SC0011609,1500m,製造,YC-08,28.45,50.7,0.9,120.0,122.04,1020.3,1107,0.01176,89.11,2025-03-18
SC0011610,1500m,製造,YC-08,27.82,50.4,0.9,120.05,122.02,1020.2,621,0.01087,89.06,2025-03-18
SC0011611,1000m,製造,YC-08,27.62,50.3,0.9,120.0,122.01,1020.0,472,0.01028,89.03,2025-03-18
SC0011612,1000m,製造,YC-08,27.83,50.3,0.9,120.0,122.59,1021.3,1038,0.01144,89.1,2025-03-18
SC0011613,1500m,製造,YC-08,28.29,50.4,0.9,120.06,122.01,1020.3,683,0.01055,89.07,2025-03-18
SC0011614,500m,製造,YC-08,28.64,50.8,0.9,120.0,122.05,1021.7,1246,0.01173,89.06,2025-03-18
SC0011615,1000m,製造,YC-08,27.79,50.4,0.9,120.08,122.01,1020.2,601,0.01108,89.03,2025-03-18
SC0011616,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.0,1020.1,691,0.01076,89.03,2025-03-18
SC0011617,500m,製造,YC-08,29.1,51.0,0.9,120.02,122.02,1020.1,1600,0.01206,89.06,2025-03-18
SC0011618,500m,製造,YC-08,28.4,51.0,0.9,120.4,122.16,1020.8,1301,0.01116,89.05,2025-03-18
SC0011619,1200m,製造,YC-08,27.48,50.3,0.9,120.0,122.12,1020.4,552,0.01088,89.04,2025-03-18
SC0011620,1500m,製造,YC-08,28.36,50.6,0.9,120.0,122.07,1020.1,1038,0.01144,89.09,2025-03-18
SC0011621,1200m,製造,YC-08,29.35,50.5,0.9,120.0,122.01,1020.2,830,0.01074,89.07,2025-03-18
SC0011622,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.01,1020.0,344,0.01041,89.02,2025-03-18
SC0011623,1500m,製造,YC-08,27.73,50.3,0.9,120.08,122.01,1020.1,552,0.01077,89.05,2025-03-18
SC0011624,1200m,製造,YC-08,28.82,50.9,0.9,120.27,122.05,1021.8,1385,0.01179,89.12,2025-03-18
SC0011625,500m,製造,YC-08,30.37,50.7,0.9,120.03,122.02,1020.1,1177,0.01117,89.07,2025-03-18
SC0011626,1000m,製造,YC-08,27.29,50.3,0.9,120.14,122.05,1020.2,431,0.01021,89.03,2025-03-18
